combo,MERTON_GAMMA,VIEW_SCALE,BL_TAU,MERTON_MAX_SECTOR,Strategy_Total Return,Strategy_CAGR,Strategy_Volatility,Strategy_Sharpe,Strategy_Max Drawdown,SP500_Total Return,SP500_CAGR,SP500_Volatility,SP500_Sharpe,SP500_Max Drawdown,n_rebalances,beats_sp500,elapsed_s,combo_dir
32,-0.8,0.28,0.05,0.45,1.2127220923071556,0.14170385464249513,0.1766049265926414,0.7201091432617465,-0.33456352039840065,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.4,results_optimization\combo_032
33,-0.8,0.28,0.07,0.35,1.2237648308216653,0.14265259372063177,0.17645744893006612,0.7260875765768628,-0.33557495565969997,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.3,results_optimization\combo_033
34,-0.8,0.28,0.07,0.45,1.2127220923071556,0.14170385464249513,0.1766049265926414,0.7201091432617465,-0.33456352039840065,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.4,results_optimization\combo_034
35,-0.8,0.28,0.1,0.35,1.2237648308216653,0.14265259372063177,0.17645744893006612,0.7260875765768628,-0.33557495565969997,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.4,results_optimization\combo_035
36,-0.8,0.28,0.1,0.45,1.2127220923071556,0.14170385464249513,0.1766049265926414,0.7201091432617465,-0.33456352039840065,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.2,results_optimization\combo_036
37,-1.2,0.15,0.05,0.35,1.1597032176214181,0.13709302709042337,0.18015873179008413,0.6803111545832092,-0.3489041277556548,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.3,results_optimization\combo_037
38,-1.2,0.15,0.05,0.45,1.1400506343023498,0.1353599480899048,0.1803136745579617,0.6701150987469854,-0.3459085850196362,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.3,results_optimization\combo_038
39,-1.2,0.15,0.07,0.35,1.1597032176214181,0.13709302709042337,0.18015873179008413,0.6803111545832092,-0.3489041277556548,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_039
40,-1.2,0.15,0.07,0.45,1.1400506343023498,0.1353599480899048,0.1803136745579617,0.6701150987469854,-0.3459085850196362,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.5,results_optimization\combo_040
41,-1.2,0.15,0.1,0.35,1.1597032176214181,0.13709302709042337,0.18015873179008413,0.6803111545832092,-0.3489041277556548,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.5,results_optimization\combo_041
42,-1.2,0.15,0.1,0.45,1.1400506343023498,0.1353599480899048,0.1803136745579617,0.6701150987469854,-0.3459085850196362,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.4,results_optimization\combo_042
43,-1.2,0.2,0.05,0.35,1.1946472818337743,0.1401424066875432,0.17718036941691492,0.708957627997172,-0.33760394005977795,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_043
44,-1.2,0.2,0.05,0.45,1.1794169929870462,0.13881835177844093,0.17815895513686716,0.6976316145595576,-0.33880063278863526,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.2,results_optimization\combo_044
45,-1.2,0.2,0.07,0.35,1.1946472818337743,0.1401424066875432,0.17718036941691492,0.708957627997172,-0.33760394005977795,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,7.6,results_optimization\combo_045
46,-1.2,0.2,0.07,0.45,1.1794169929870462,0.13881835177844093,0.17815895513686716,0.6976316145595576,-0.33880063278863526,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,6.9,results_optimization\combo_046
47,-1.2,0.2,0.1,0.35,1.1946472818337743,0.1401424066875432,0.17718036941691492,0.708957627997172,-0.33760394005977795,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,6.6,results_optimization\combo_047
48,-1.2,0.2,0.1,0.45,1.1794169929870462,0.13881835177844093,0.17815895513686716,0.6976316145595576,-0.33880063278863526,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,6.2,results_optimization\combo_048
49,-1.2,0.28,0.05,0.35,1.2107866433885022,0.141537164056863,0.17705040442503425,0.7173557847057932,-0.3379053394964678,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,6.1,results_optimization\combo_049
50,-1.2,0.28,0.05,0.45,1.200928663204221,0.14068625374884092,0.17769354127146317,0.7099707765857707,-0.33811712608272526,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,6.9,results_optimization\combo_050
51,-1.2,0.28,0.07,0.35,1.2107866433885022,0.141537164056863,0.17705040442503425,0.7173557847057932,-0.3379053394964678,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,8.0,results_optimization\combo_051
52,-1.2,0.28,0.07,0.45,1.200928663204221,0.14068625374884092,0.17769354127146317,0.7099707765857707,-0.33811712608272526,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,6.3,results_optimization\combo_052
53,-1.2,0.28,0.1,0.35,1.2107866433885022,0.141537164056863,0.17705040442503425,0.7173557847057932,-0.3379053394964678,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,6.2,results_optimization\combo_053
54,-1.2,0.28,0.1,0.45,1.200928663204221,0.14068625374884092,0.17769354127146317,0.7099707765857707,-0.33811712608272526,1.3077341042969826,0.14974119469010772,0.20462885717562257,0.6607678129971545,-0.33717269756338436,72,False,6.2,results_optimization\combo_054
