Date,IWDA.L,IEMA.L,IUSN.DE,XLK,XLF,XLV,XLE,XLP,XLI,XLU,SOXX,CIBR,BOTZ,LIT,ITB,GLD,SLV,DBA,TLT,IEF,XEON.DE
2020-07-17,62.060001373291016,34.4900016784668,4.3379998207092285,51.0736198425293,21.619112014770508,96.57630157470703,14.647489547729492,52.943641662597656,65.98069763183594,25.240211486816406,89.21894073486328,33.07102584838867,24.877424240112305,34.22234344482422,45.96023941040039,170.1199951171875,18.010000228881836,12.09821891784668,140.6956329345703,106.1084213256836,136.30499267578125
2020-07-20,62.400001525878906,34.86000061035156,4.3420000076293945,52.37879180908203,21.51982307434082,96.55806732177734,14.403964042663574,52.41068649291992,65.17426300048828,24.90904426574707,90.98220825195312,34.096248626708984,25.133790969848633,35.0009880065918,45.9219856262207,170.94000244140625,18.530000686645508,12.00997543334961,141.04156494140625,106.17797088623047,136.29400634765625
2020-07-21,63.119998931884766,35.5,4.39300012588501,51.85289764404297,21.944080352783203,96.49423217773438,15.274266242980957,52.86628341674805,66.03569030761719,25.022226333618164,90.51837158203125,33.969322204589844,25.18309783935547,35.0009880065918,45.90287399291992,173.0,19.670000076293945,11.974678039550781,141.1259002685547,106.29104614257812,136.24000549316406
2020-07-22,62.849998474121094,35.13999938964844,4.34250020980835,52.26883316040039,21.944080352783203,97.36066436767578,15.086637496948242,53.28749465942383,66.56719207763672,25.407896041870117,90.81700134277344,33.959556579589844,25.311275482177734,35.0009880065918,47.69080352783203,175.6300048828125,21.440000534057617,12.17763900756836,141.5476837158203,106.32579803466797,136.2899932861328
2020-07-23,63.119998931884766,35.189998626708984,4.367499828338623,50.91107940673828,21.962133407592773,96.92288970947266,15.058691024780273,53.476600646972656,66.3656005859375,25.43724250793457,89.4286117553711,33.6959228515625,25.27183723449707,35.08750915527344,47.64299774169922,177.17999267578125,21.030000686645508,12.115867614746094,143.2012481689453,106.43013763427734,136.3040008544922
2020-07-24,62.09000015258789,34.744998931884766,4.304500102996826,50.294349670410156,21.90797233581543,95.85578918457031,14.974853515625,53.4078483581543,65.8340835571289,25.269554138183594,88.02433776855469,33.26630401611328,25.0056095123291,33.5494270324707,47.76728057861328,178.6999969482422,21.209999084472656,12.133517265319824,143.1927947998047,106.37800598144531,136.27999877929688
2020-07-27,62.310001373291016,35.209999084472656,4.265500068664551,51.08796691894531,21.727434158325195,96.57630157470703,14.99082088470459,53.674312591552734,66.10900115966797,24.96354103088379,90.76618194580078,33.79356384277344,25.547924041748047,33.74168014526367,49.62214660644531,182.22999572753906,22.829999923706055,12.239409446716309,142.6612548828125,106.2127456665039,136.22000122070312
2020-07-28,62.599998474121094,35.244998931884766,4.305500030517578,50.49037170410156,21.673276901245117,96.46683502197266,14.735321044921875,53.87201690673828,65.65078735351562,25.340822219848633,89.01242065429688,33.57875442504883,25.2225341796875,33.80896759033203,48.25489807128906,183.75,22.770000457763672,12.168814659118652,143.6483154296875,106.46492004394531,136.30999755859375
2020-07-29,62.689998626708984,35.5099983215332,4.304500102996826,51.22182846069336,22.07948112487793,97.4792251586914,15.04272174835205,53.94939422607422,66.649658203125,25.45819664001465,90.8456039428711,34.447757720947266,25.46904182434082,34.5107307434082,49.79424285888672,185.1300048828125,22.56999969482422,12.274706840515137,143.40365600585938,106.60405731201172,136.30999755859375
2020-07-30,62.16999816894531,35.0,4.2729997634887695,51.5086784362793,21.68230438232422,96.80430603027344,14.451869010925293,53.94939422607422,65.98069763183594,25.45819664001465,92.63429260253906,34.72115707397461,25.30141830444336,34.22234344482422,49.641258239746094,183.75999450683594,21.760000228881836,12.318828582763672,144.3485107421875,106.75186920166016,136.24200439453125
