Date,Portfolio Value,Rebalance,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2022-02-28,127449.75,True,"IWDA.L, VGK, EWJ, IEMA.L, INDA, XLF, XLE, XLI, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, GLD, DBA, TLT, IEF, TIP",20,0.0316,normal,"rebalance: IEF peso=0.0410 fuera de [0.0793, 0.1193]"
2022-03-31,130880.27,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, MCHI, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLK, SOXX, CIBR, GLD, SLV, DBA, IEF, TIP",20,0.0359,normal,"rebalance: GLD peso=0.0138 fuera de [0.0219, 0.0619]"
2022-04-29,126334.73,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, EWZ, XLF, XLE, XLI, XLV, XLP, XLU, XLK, SOXX, CIBR, LIT, VNQ, GLD, SLV, DBA, TLT",20,0.0638,normal,"rebalance: CIBR peso=0.0326 fuera de [0.0368, 0.0768]"
2022-05-31,129382.61,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, EWZ, INDA, XLF, XLE, XLI, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, GLD, DBA, IEF, TIP",20,0.1835,caution,"rebalance: CIBR peso=0.0500 fuera de [0.0000, 0.0391]"
2022-06-30,123286.67,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, LIT, VNQ, GLD, DBA, IEF, TIP",23,0.1567,caution,"rebalance: DBA peso=0.0617 fuera de [0.0621, 0.1021]"
2022-07-29,128304.2,True,"EWJ, IUSN.DE, IEMA.L, MCHI, EWZ, INDA, XLF, XLE, XLI, XLV, XLP, XLU, XLK, CIBR, LIT, GLD, DBA, IEF, TIP",19,0.0224,normal,"rebalance: EWZ peso=0.0606 fuera de [0.0013, 0.0413]"
2022-08-31,126365.65,True,"IWDA.L, EWJ, IUSN.DE, INDA, XLE, XLI, XLV, XLP, XLU, XLK, SOXX, CIBR, LIT, VNQ, GLD, SLV, IEF, TIP",18,0.0127,normal,"rebalance: DBA peso=0.0676 fuera de [0.0000, 0.0200]"
2022-09-30,117949.23,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLU, XLK, CIBR, LIT, VNQ, DBA, IEF, TIP",22,0.002,normal,"rebalance: DBA peso=0.0000 fuera de [0.0100, 0.0500]"
2022-10-31,122701.94,True,"IWDA.L, EWJ, IUSN.DE, IEMA.L, MCHI, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLU, XLK, CIBR, LIT, GLD, DBA, IEF, TIP",20,0.0091,normal,"rebalance: DBA peso=0.0285 fuera de [0.1228, 0.1628]"
2022-11-30,128579.16,True,"IWDA.L, IUSN.DE, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, CIBR, LIT, DBA, IEF, TIP",15,0.1828,caution,"rebalance: EWJ peso=0.0400 fuera de [0.0000, 0.0200]"
2022-12-30,125631.09,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLK, LIT, IEF, TIP",17,0.0102,normal,"rebalance: DBA peso=0.1502 fuera de [0.0000, 0.0200]"
2023-01-31,129642.17,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLU, BOTZ, GLD, SLV, DBA, IEF, TIP",20,0.0099,normal,"rebalance: DBA peso=0.0000 fuera de [0.0413, 0.0813]"
2023-02-28,124628.41,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWZ, XLF, XLE, XLI, ITB, XLV, BOTZ, GLD, SLV, BITO",15,0.0,normal,"rebalance: BITO peso=0.0000 fuera de [0.0153, 0.0553]"
2023-03-31,129919.44,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, XLF, XLE, XLI, ITB, XLV, XLP, SOXX, BOTZ, GLD, DBA, TIP, BITO",18,0.0053,normal,"rebalance: BOTZ peso=0.0435 fuera de [0.1075, 0.1475]"
2023-04-28,131533.99,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, XLI, ITB, XLP, XLK, SOXX, BOTZ, GLD, IEF, TIP, BITO",15,0.0009,normal,"rebalance: DBA peso=0.0725 fuera de [0.0000, 0.0200]"
2023-05-31,131362.9,True,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, ITB, XLV, XLP, XLK, SOXX, BOTZ, GLD, SLV, DBA, TIP, BITO",16,0.0,normal,"rebalance: BITO peso=0.0542 fuera de [0.0115, 0.0515]"
2023-06-30,139014.37,True,"IWDA.L, VGK, EWJ, IEMA.L, INDA, ITB, XLP, XLK, SOXX, BOTZ, GLD, DBA, IEF, TIP, BITO",15,0.0201,normal,"rebalance: BITO peso=0.0335 fuera de [0.0531, 0.0931]"
2023-07-31,141120.75,True,"IWDA.L, VGK, EWJ, EWZ, INDA, XLI, ITB, XLV, XLP, XLK, SOXX, BOTZ, GLD, DBA, TLT, IEF, TIP, BITO",18,0.0017,normal,"rebalance: BITO peso=0.0683 fuera de [0.0710, 0.1110]"
2023-08-31,136426.99,True,"IWDA.L, IEMA.L, EWZ, INDA, XLI, ITB, XLP, XLU, XLK, SOXX, CIBR, BOTZ, DBA, BITO",14,0.0062,normal,"rebalance: BITO peso=0.0838 fuera de [0.0073, 0.0473]"
2023-09-29,130480.49,True,"IWDA.L, EWJ, EWZ, INDA, XLI, ITB, XLV, XLP, XLK, SOXX, CIBR, GLD, SLV, DBA, BITO",15,0.0079,normal,"rebalance: CIBR peso=0.0186 fuera de [0.0236, 0.0636]"
2023-10-31,129685.89,True,"IWDA.L, EWJ, IUSN.DE, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLK, SOXX, CIBR, DBA, IEF, TIP, BITO",18,0.0092,normal,"rebalance: DBA peso=0.0450 fuera de [0.1343, 0.1743]"
2023-11-30,138153.07,True,"IWDA.L, EWJ, IUSN.DE, INDA, XLF, XLE, XLI, XLV, XLP, XLK, SOXX, CIBR, GLD, DBA, IEF, TIP, BITO",17,0.0061,normal,"rebalance: BITO peso=0.0260 fuera de [0.0403, 0.0803]"
2023-12-29,143782.94,True,"IWDA.L, VGK, EWJ, IEMA.L, EWZ, INDA, XLF, XLE, XLI, XLV, XLK, SOXX, CIBR, GLD, SLV, DBA, IEF, TIP, BITO",19,0.0231,normal,"rebalance: EWJ peso=0.0429 fuera de [0.0000, 0.0321]"
2024-01-31,145456.04,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, EWZ, INDA, XLF, XLI, ITB, XLV, XLK, SOXX, CIBR, VNQ, GLD, TIP, BITO",17,0.021,normal,"rebalance: CIBR peso=0.0755 fuera de [0.1103, 0.1503]"
2024-02-29,154532.68,True,"IWDA.L, VGK, EWJ, IUSN.DE, EWZ, INDA, XLF, XLI, XLV, XLP, XLK, SOXX, CIBR, GLD, DBA, IEF, TIP, BITO",18,0.0113,normal,"rebalance: BITO peso=0.0982 fuera de [0.0395, 0.0795]"
2024-03-28,160636.79,True,"IWDA.L, VGK, EWJ, IEMA.L, EWZ, INDA, XLF, XLI, XLV, XLP, XLK, SOXX, CIBR, IEF, TIP, BITO",16,0.0142,normal,"rebalance: DBA peso=0.0629 fuera de [0.0000, 0.0200]"
2024-04-30,154287.97,True,"IWDA.L, VGK, EWJ, IUSN.DE, XLF, XLE, XLI, ITB, XLV, XLP, XLK, SOXX, BOTZ, VNQ, GLD, DBA, TLT, BITO",18,0.0158,normal,"rebalance: BITO peso=0.0583 fuera de [0.0984, 0.1384]"
2024-05-31,161332.67,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, EWZ, INDA, XLF, XLE, XLI, ITB, XLV, XLP, SOXX, BOTZ, GLD, BITO",16,0.0362,normal,"rebalance: BITO peso=0.1291 fuera de [0.0819, 0.1219]"
2024-06-28,161316.1,True,"IWDA.L, VGK, IUSN.DE, MCHI, XLF, XLI, ITB, XLP, XLU, XLK, SOXX, BOTZ, GLD, SLV, DBA, BITO",16,0.0144,normal,"rebalance: BOTZ peso=0.0633 fuera de [0.0000, 0.0372]"
2024-07-31,166145.2,True,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, MCHI, INDA, XLF, XLE, XLI, XLV, XLP, XLU, XLK, SOXX, BOTZ, GLD, SLV, DBA, TIP, BITO",21,0.0088,normal,"rebalance: BITO peso=0.0851 fuera de [0.0148, 0.0548]"
2024-08-30,168796.35,True,"IWDA.L, VGK, IUSN.DE, IEMA.L, MCHI, INDA, XLF, XLE, XLI, ITB, XLV, XLP, XLU, XLK, SOXX, VNQ, GLD, SLV, IEF, TIP, BITO",21,0.0,normal,"rebalance: DBA peso=0.0282 fuera de [0.0000, 0.0200]"
2024-09-30,174087.74,True,"IWDA.L, VGK, IEMA.L, MCHI, INDA, XLF, XLI, ITB, XLV, XLP, XLU, XLK, VNQ, GLD, SLV, DBA, IEF, TIP",18,0.0072,normal,"rebalance: BITO peso=0.0293 fuera de [0.0000, 0.0200]"
